Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      3.51     0.00      259     0.00     0.00  std::istream_iterator<std::string, char, std::char_traits<char>, long>::operator*() const
  0.00      3.51     0.00      259     0.00     0.00  _ZNSt16allocator_traitsISaISsEE12_S_constructISsIRKSsEEENSt9enable_ifIXsrNS1_18__construct_helperIT_IDpT0_EEE5valueEvE4typeERS0_PS7_DpOS8_
  0.00      3.51     0.00      259     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<std::string const&>)({parm#3}))) std::allocator_traits<std::allocator<std::string> >::construct<std::string, std::string const&>(std::allocator<std::string>&, std::string*, std::string const&)
  0.00      3.51     0.00      259     0.00     0.00  std::enable_if<std::allocator_traits<std::allocator<unsigned char> >::__construct_helper<unsigned char<unsigned char> >::value, void>::type std::allocator_traits<std::allocator<unsigned char> >::_S_construct<unsigned char, unsigned char>(std::allocator<unsigned char>&, unsigned char*, unsigned char&&)
  0.00      3.51     0.00      259     0.00     0.00  decltype (_S_construct({parm#1}, {parm#2}, (forward<unsigned char>)({parm#3}))) std::allocator_traits<std::allocator<unsigned char> >::construct<unsigned char, unsigned char>(std::allocator<unsigned char>&, unsigned char*, unsigned char&&)
  0.00      3.51     0.00      259     0.00     0.00  std::istream_iterator<std::string, char, std::char_traits<char>, long>::operator++()
  0.00      3.51     0.00      259     0.00     0.00  void std::vector<std::string, std::allocator<std::string> >::emplace_back<std::string const&>(std::string const&)
  0.00      3.51     0.00      259     0.00     0.00  void std::vector<unsigned char, std::allocator<unsigned char> >::emplace_back<unsigned char>(unsigned char&&)
  0.00      3.51     0.00      259     0.00     0.00  std::vector<unsigned char, std::allocator<unsigned char> >::push_back(unsigned char&&)
  0.00      3.51     0.00      259     0.00     0.00  std::remove_reference<unsigned char&>::type&& std::move<unsigned char&>(unsigned char&)
  0.00      3.51     0.00      252     0.00     0.00  std::remove_reference<std::allocator<unsigned char>&>::type&& std::move<std::allocator<unsigned char>&>(std::allocator<unsigned char>&)
  0.00      3.51     0.00      252     0.00     0.00  std::remove_reference<std::vector<unsigned char, std::allocator<unsigned char> >&>::type&& std::move<std::vector<unsigned char, std::allocator<unsigned char> >&>(std::vector<unsigned char, std::allocator<unsigned char> >&)
  0.00      3.51     0.00      225     0.00     0.00  __gnu_cxx::new_allocator<std::string>::deallocate(std::string*, unsigned long)
  0.00      3.51     0.00      225     0.00     0.00  __gnu_cxx::new_allocator<std::string>::allocate(unsigned long, void const*)
  0.00      3.51     0.00      225     0.00     0.00  std::vector<std::string, std::allocator<std::string> >::_M_check_len(unsigned long, char const*) const
  0.00      3.51     0.00      225     0.00     0.00  std::_Vector_base<std::string, std::allocator<std::string> >::_M_allocate(unsigned long)
  0.00      3.51     0.00      225     0.00     0.00  std::string* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<std::string*>, std::string*>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*)
  0.00      3.51     0.00      225     0.00     0.00  void std::vector<std::string, std::allocator<std::string> >::_M_emplace_back_aux<std::string const&>(std::string const&)
  0.00      3.51     0.00      225     0.00     0.00  std::vector<char, std::allocator<char> >::end()
  0.00      3.51     0.00      225     0.00     0.00  std::vector<char, std::allocator<char> >::begin()
  0.00      3.51     0.00      225     0.00     0.00  std::string* std::uninitialized_copy<std::move_iterator<std::string*>, std::string*>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*)
  0.00      3.51     0.00      225     0.00     0.00  std::string* std::__uninitialized_copy_a<std::move_iterator<std::string*>, std::string*, std::string>(std::move_iterator<std::string*>, std::move_iterator<std::string*>, std::string*, std::allocator<std::string>&)
